Año;idmunici;ccdd;ccpp;ccdi;Ubigeo;;Provincia;Distrito;Tipomuni;VFI;P04_1;P04_2;P04_3;P04_4;P04_5;P04_6;P05_CC;P05_1;P05_2;P05_3;P06_CC;P06;P07;P08;P09;P10_1;P10_2;P10_3;P10_4;VFI_P11A;P11A_1;P11A_1_1;P11A_1_2;P11A_2;P11A_2_1;P11A_2_2;P11A_3;P11A_3_1;P11A_3_2;P11A_4;P11A_4_1;P11A_4_2;P11A_5;P11A_5_1;P11A_5_2;P11A_6;P11A_6_1;P11A_6_2;P11A_7;P11A_7_1;P11A_7_2;P11A_8;P11A_8_1;P11A_8_2;P11A_9;P11A_9_1;P11A_9_2;P11A_10;P11A_10_1;P11A_10_2;P11A_10_O;VFI_P11B;P11B_11;P11B_11_1;P11B_11_2;P11B_12;P11B_12_1;P11B_12_2;P11B_13;P11B_13_1;P11B_13_2;P11B_14;P11B_14_1;P11B_14_2;P11B_15;P11B_15_1;P11B_15_2;P11B_16;P11B_16_1;P11B_16_2;P11B_17;P11B_17_1;P11B_17_2;P11B_18;P11B_18_1;P11B_18_2;P11B_18_O;VFI_P12;P12_1;P12A_1;P12_2;P12A_2;VFI_P13;P13_1;P13A_1;P13_2;P13A_2;P13_3;P13A_3;P13_4;P13A_4;P13_5;P13A_5;P13_6;P13A_6;P13_7;P13A_7;P13_8;P13A_8;P13_9;P13A_9;P13A_9_O;VFI_P14;P14;P14A_1;P14A_2;VFI_P15;P15_1;P15A_1;P15_2;P15A_2;P15_3;P15A_3;P15_4;P15A_4;P15_5;P15A_5;P15_6;P15A_6;P15A_6_O;VFI_P16;P16_1;P16_2;P16_3;P16_4;P16_5;P16_6;P16_7;P16_8;P16_9;P16_9_O;VFI_P17;P17_1;P17_2;P17_3;P17_4;P17_5;P17_6;P17_7;P17_8;P17_9;P17_10;P17_11;P17_12;P17_13;P17_13_O;P17_14;VFI_P18;P18;P18_Portal
2022;10101;1;1;1;10101;;CHACHAPOYAS;CHACHAPOYAS;1;1;2;ORTIZ ARRIETA;588; ; ; ;41;477002;960084144; ;41;477002;WWW.FACEBOOK.COM/MUNICHACHAPOYAS;ALCALDIA@MUNICHACHAPOYAS.GOB.PE;WWW.GOB.PE/MUNICHACHAPOYAS;VICTOR RAUL;CULQUI;PUERTA;2;1;1;9;1;1;18;2;2; ; ;1;2;1;1;5;0;2; ; ;1;4;0;2; ; ;2; ; ;2; ; ; ;1;1;1;0;1;1;0;1;1;0;1;2;0;1;0;1;2; ; ;1;0;1;2; ; ; ;1;1;1;1;2;1;2; ;2; ;1;2;1;1;1;34;1;75;1;50;1;3;2; ; ;1;1;165;5;1;1;3;1;8;1;12;1;34;1;10;2; ; ;1;0;2;3;4;5;0;0;0;0; ;1;1;2;3;4;5;6;7;0;9;0;0;12;0; ;0;1;1;www.transparencia.gob.pe/enlaces/pte_transparencia_enlaces.aspx?id_entidad=193#.xbcds5pkgdw
2022;10102;1;1;2;10102;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;2;1;3;NICARMAL - PLAZA DE ARMAS;S/N;5;15;50;41; ; ; ;41;920696668; ;MUNIASUNCION.TRAMITE@GMAIL.COM; ;HELDA;MOLINARI;TRAUCO;1;1;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ; ;1;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ; ;1;2; ;2; ;1;2; ;2; ;2; ;2; ;2; ;2; ;1;3;2; ;2; ; ;1;1;3;1;1;1;1;2; ;1;1;1;1;2; ;2; ; ;1;0;0;3;4;0;0;0;0;0; ;1;1;2;3;4;5;6;0;8;9;10;0;12;0; ;0;1;3; 
2022;10103;1;1;3;10103;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;2;1;1;MARAÑON;565; ; ; ;41; ; ; ;41;931869918;WWW.FACEBOOK.COM/MUNIBALSAS;MUNIBALSAS2019@GMAIL.COM; ;SEGUNDO PABLO;MAZA;SANCHEZ;2;1;1;1;1;1;1;0;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ; ;1;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ; ;1;2; ;2; ;1;2; ;2; ;2; ;2; ;1;2;1;1;2; ;2; ;2; ; ;1;1;3;4;1;1;1;1;1;2; ;2; ;2; ;2; ; ;1;0;0;0;4;0;0;0;0;0; ;1;0;2;0;4;5;0;0;0;0;0;0;12;0; ;0;1;2; 
2022;10104;1;1;4;10104;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;2;1;2;UNION;S/N; ; ; ;41; ;992669364; ;41; ; ;MUNICHETO2019@GMAIL.COM; ;ELITA;CULQUIMBOZ;HUAMAN;1;1;1;0;1;1;1;0;2; ; ;2; ; ;1;1;0;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ; ;1;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ; ;1;2; ;2; ;1;2; ;2; ;2; ;2; ;1;1;1;1;2; ;2; ;2; ; ;1;1;2;2;1;2; ;2; ;2; ;1;2;1;1;2; ; ;1;0;0;0;4;0;0;0;0;0; ;1;1;0;0;0;5;6;0;0;0;0;0;12;0; ;0;1;3; 
2022;10105;1;1;5;10105;AMANAS;CHACHAPOYAS;CHACHAPOYAS;2;1;3;SAN MARTIN;S/N; ; ; ;41; ;954385270; ;41;968933510; ;MDCHILIQUIN@HOTMAIL.COM; ;JAIME;PINEDO;SOPLA;2;1;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ; ;1;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ; ;1;2; ;1;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;3;INTEL ATOM;1;1;3;1;1;1;1;2; ;1;2;1;1;2; ;2; ; ;1;0;0;0;4;0;0;0;0;0; ;1;0;0;0;0;5;6;0;0;0;0;0;12;0; ;0;1;3; 
2022;10106;1;1;6;10106;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;2;1;2;SAN MARTIN;S/N; ; ; ;41; ;999225249; ;41;999224113; ;CHUQUIBAMBADMESADEPARTES@GMAIL.COM; ;HECTOR;DIAZ;AÑASCO;2;1;2; ; ;1;0;1;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ; ;1;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;1;0;1;2; ; ;2; ; ; ;1;2; ;1;7;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;3;INTEL ATOM;1;1;3;4;1;1;1;2; ;2; ;1;2;1;1;2; ; ;1;0;0;3;4;0;0;0;0;0; ;1;0;2;0;4;5;0;0;0;0;0;0;0;0; ;0;1;3; 
2022;10107;1;1;7;10107;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;2;1;3;MUNICIPAL;500;1;1;1;41;484940;978373773;973838372;41; ; ;MDGRANADA2015@HOTMAIL.COM; ;SAMUEL;CANLLA;GOMEZ;2;1;1;1;1;1;0;1;1;1;0;1;0;1;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ; ;1;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ; ;1;1;1;1;1;1;1;1;2; ;2; ;2; ;1;1;2; ;2; ;2; ;2; ; ;1;1;2;1;1;1;2;2; ;1;2;2; ;2; ;2; ; ;1;0;0;3;4;0;0;7;0;0; ;1;1;0;0;4;5;0;0;0;0;0;0;12;0; ;0;1;2; 
2022;10108;1;1;8;10108;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;2;1;2;JOSE OLAYA;123; ; ; ;41; ;920131063; ;41;923850507;WWW.FACEBOOK.COM/MUNICIPALIDADHUANCAS;MESADEPARTES.HUANCAS.CHACHAPOYAS@GMAIL.COM; ;WILIAN FREDY;PUSCAN;ALVA;2;1;1;1;4;2; ; ;2; ; ;1;1;0;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ; ;1;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ; ;1;2; ;1;1;1;2; ;2; ;2; ;2; ;2; ;1;5;2; ;2; ;2; ; ;1;1;5;1;1;1;1;1;4;2; ;1;4;1;1;2; ; ;1;0;0;0;4;0;0;0;0;0; ;1;0;0;0;0;0;0;0;0;0;0;0;12;0; ;0;1;3; 
2022;10109;1;1;9;10109;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;2;1;2;ALONSO DE ALVARADO;750; ; ; ;41; ;996929729;985867645;41;942687373; ;MUNILAJALCA@OUTLOOK.ES; ;WHUMBERTO;CULQUI;VELASQUEZ;2;1;1;1;1;1;2;0;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ; ;1;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ; ;1;2; ;1;1;1;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;1;1;7;3;1;1;1;1;3;2; ;1;3;1;1;2; ; ;1;0;0;0;4;0;0;0;0;0; ;1;0;0;0;0;0;0;0;0;0;0;0;0;0; ;14;1;3; 
2022;10110;1;1;10;10110;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;2;1;2;SUCRE;121; ; ; ;41; ; ; ;41;943250764; ;MUNICIPALIDADLEIMEBAMBA@GMAIL.COM; ;LAYNES;SILVA;VIGO;2;1;1;1;0;1;1;0;1;2;0;1;2;1;1;2;0;1;2;0;1;2;0;1;2;0;1;2;0;2; ; ; ;1;1;2;0;1;1;0;1;2;0;1;2;0;1;2;0;1;2;0;1;2;0;2; ; ; ;1;2; ;2; ;1;2; ;2; ;1;1;2; ;1;1;1;2;1;4;2; ;2; ; ;1;1;8;3;1;1;1;1;2;1;3;1;2;2; ;2; ; ;1;0;0;3;4;0;0;0;0;0; ;1;1;2;0;0;5;6;0;0;0;0;0;12;0; ;0;1;2; 
