Ub;a;datotab0101;datotab0102;datotab0103;datotab0104;datotab0105;datotab0106;datotab0107;datotab0108;datotab0109;datotab0110;datotab0111;datotab0112;datotab0113;datotab0114;datotab0115;datotab0116;datotab0117;datotab0118;datotab0119;datotab0120
10000;2020;991172.05;642811.79;10921.51;1698.84;4075.19;2046.05;1191.02;1390.54;519.87;631890.28;0;5188.57;0;624142.52;2559.19;0;348360.26;348360.26;179432.01;88695.26
20000;2020;1740463.46;1634363.31;29394.97;1697.64;3465.38;9976.35;4997.59;5500.12;3757.89;1604968.34;289867.4;6561.09;0;1308536.85;0;3;106100.15;104642.14;16209.31;25860.81
30000;2020;1037303.27;800675.58;11107.79;786.09;630.33;2738.89;1833.45;3934.2;1184.83;789567.79;2870.45;3675.48;0;748710.09;0;22.3;236627.69;236627.69;122132.02;73859.22
40000;2020;2061920.25;1480492.17;79599.42;24762.72;2504.27;15412.96;8064.24;16531.2;12324.03;1400892.75;154050.22;4085.79;360.29;1239655.58;742;1998.87;581428.08;572895.33;235896.02;253432.15
50000;2020;1497287.77;1122596.39;17723.57;1686.78;3889.66;5074.51;1900.57;3196.1;1975.95;1104872.82;37959.65;5502.85;22.56;1060636.17;751.59;0;374691.38;374691.38;206382.07;104074.1
60000;2020;1960901.7;1776692.76;20013.2;3105.42;2907.5;6157.3;1675.95;4345.93;1821.1;1756679.56;48307.37;4506.17;11.41;1702084.86;796.67;973.08;184208.94;184208.94;43170.27;104410.16
70000;2021;1058399.78;1007099.8;44638.39;2911.88;1240.33;24981.91;537.35;11700.06;3266.86;962461.41;1172.96;4084.34;0;699695.43;1400;0;51299.98;50558.63;37030.59;6834.02
80000;2021;2016529.99;1861646.76;36960.57;1710.25;860.02;17696.15;3695.02;8057.36;4941.77;1824686.19;400602.67;5777.89;0;1418015.63;290;0;154883.23;154883.23;66687.99;37541.77
90000;2021;989033.53;812766.79;7816.78;2243.12;735.64;1605.58;1588.06;1003.07;641.31;804950.01;37068.48;5952.13;0;761805.55;123.85;0;176266.74;176266.74;112310.3;41177.3
100000;2021;1267050.81;939987.55;11195.39;1550.47;830.27;2963.01;1601.77;2766.18;1483.69;928792.16;3858.13;5675.32;0;919258.71;0;0;327063.26;327063.26;113034.74;170463.35
110000;2021;972752.74;936692.58;22823.73;1462.57;264.93;10413.08;2095.92;4198.73;4388.5;913269.31;57040.2;3262.2;0;852966.91;0;0;36060.16;34358.34;23682.86;5337.74
120000;2021;1767324.48;1490435.25;28111.83;2262.4;853.35;9678.5;1330.97;8045.21;5941.4;1462323.42;37004.49;6442.93;89.95;1414453.77;4290;42.28;276889.23;276889.23;196705.42;40111.5
130000;2022;1821549.33;1764779.6;98299.05;2142.53;11791.4;26584.39;7258.79;33684.65;16837.29;1666480.55;59306.45;4468.53;34.12;1600661.49;1500;509.96;56769.73;55085.45;42585.37;6796.5
140000;2022;1328524.33;1029049.2;44495.98;2998.14;13811.21;8222.91;3239.68;13668.01;2556.03;984553.22;1.09;4890.41;2.96;979658.76;0;0;299475.13;299452.59;186999.69;95754.6
150000;2022;1291987.27;1112719.71;31018.63;2241.03;4742.9;10908.26;1769.22;6385.08;4972.14;1081701.08;57159.58;4022.37;3.94;1020515.19;0;0;179267.56;179267.56;71067.7;69033.15
150100;2022;120308.87;16883.43;1062.7;746.14;15.69;0;299.75;0;1.12;15820.73;3512.2;0;0;12308.53;0;0;103425.44;103425.44;93161.16;7316.59
160000;2022;1816463.41;1445869.62;18175.5;2455.41;1167.48;4929.92;1182.01;5115.68;3325;1427694.12;54021.85;4398.2;0;1367039.66;2234.41;0;370593.79;370517.82;128852.23;107949.17
170000;2022;423991.36;238447.31;10037.86;969.44;145.53;3437.74;1653.59;3009.13;822.43;228409.45;292.52;5260.59;0;222856.34;0;0;185544.05;185544.05;91256.75;50008.49
180000;2023;508784.25;351937.41;9139.6;444.76;304.54;3432.34;780.77;3390.28;786.91;342797.81;40732.01;1875.94;0;299443.04;5;741.82;156846.84;156106.42;77837.59;49448.71
190000;2023;656465.45;423706.37;4650.67;241.27;0.07;966.9;932.7;1744.98;764.75;419055.7;19632.2;11090.47;0;388333.03;0;0;232759.08;232759.08;95987.18;97774.48
200000;2023;2300820.88;1692998.87;56784.24;5727.38;17511.82;8271.92;1959.78;19856.55;3456.79;1636214.63;111913.55;4656.25;12.98;1519172.8;415.05;44;607822.01;607822.01;129471.6;258165.04
210000;2023;1760916.31;1513051.65;23094.1;605.17;136.89;9806.78;1554.03;8619.12;2372.11;1489957.55;23533.39;2647.78;0;1463486.38;290;0;247864.66;247864.66;113522.4;87225.36
220000;2023;1283986.59;1075962.22;25252.88;5917.78;5939.55;5564.28;1789.03;3024.52;3017.72;1050709.34;445.09;5282.34;0;981874.79;6524.88;0;208024.37;208024.37;155207.8;0
230000;2023;713103.16;475288.35;17320.74;2688.23;2854.9;5720.85;759.21;3878.69;1418.86;446242.04;46831.95;3555.43;0;395269.66;585;0;237814.81;235467.63;56322.04;91714.58
240000;2023;454504.93;406817.89;6939.35;84.81;363.09;2398.66;755.48;2116.39;1220.92;399878.54;36405.35;4887.54;0;358585.65;0;0;47687.04;47438.22;31185.73;11355.54
250000;2024;993838.21;668443.82;19342.17;5027.33;947.95;4029.24;1749.3;6464.13;1124.22;649101.65;27674.11;6078.41;0;613155.77;2193.36;0;325394.39;324494.4;109448.59;111190.99
