Date;Natural_Gas_Price;Natura lGasVol.;Crude oilPrice;CrudeoilVol.;CopperPrice;CopperVol.;BitcoinPrice;BitcoinVol;PlatinumPrice;EthereumPrice;EthereumVol.;S&P500Price;Nasdaq100Price;ApplePrice;TeslaPrice;MicrosoftPrice;SilverPrice;SilverVol.;GooglePrice;NvidiaPrice;BerkshirePrice;BerkshireVol.;NetflixPrice;AmazonPrice;MetaVol.;GoldVol.;
26/12/2023;2.55;50760;75.57;208720;3.902;38000;42,513.30;56030;995.6;2,230.74;429500;4,774.75;16,878.46;193.05;256.61;374.66;24.396;27810;141.52;492.79;5,43,635;10890;491.19;153.41;354.83;2,060.40;290
22/12/2023;2.61;42840;73.56;222600;3.905;54140;43,968.90;44500;981.8;2,324.23;620730;4,754.63;16,777.40;193.6;252.54;374.58;24.565;48680;141.49;488.3;5,42,600;7840;486.76;153.42;353.39;2,059.60;440
21/12/2023;2.572;84550;73.89;251980;3.9175;70080;43,865.90;48960;970.3;2,239.62;471460;4,746.75;16,757.41;194.68;254.5;373.54;24.585;46760;140.42;489.9;5,41,000;7700;491.61;153.84;354.09;2,041.80;540
20/12/2023;2.447;125260;74.22;273360;3.906;66320;43,662.80;70190;974;2,202.19;440350;4,701.19;16,554.16;194.83;247.14;370.62;24.631;46980;138.34;481.11;5,43,740;8150;489.27;152.12;349.28;2,038.10;260
19/12/2023;2.492;170440;73.44;25690;3.898;84950;42,259.30;55290;965.8;2,177.44;400940;4,768.37;16,811.86;196.94;257.22;373.26;24.321;37540;136.65;496.04;5,54,650;7500;495.02;153.79;350.36;2,042.60;470
18/12/2023;2.503;154300;72.47;73940;3.852;54990;42,659.70;61580;954.3;2,218.80;388260;4,740.56;16,729.80;195.89;252.08;372.65;24.107;42680;135.8;500.77;5,51,182;10460;486.12;154.07;344.62;2,030.90;250
15/12/2023;2.491;189240;71.43;95510;3.8905;73670;41,929.00;45280;952.6;2,220.41;349630;4,719.19;16,623.45;197.57;253.5;370.73;24.154;57000;132.6;488.9;5,44,478;8430;472.06;149.97;334.92;2,026.00;630
14/12/2023;2.392;159490;71.58;275690;3.8925;107540;43,025.90;59150;967.9;2,315.64;461600;4,719.55;16,537.83;198.11;251.05;365.93;24.386;97580;131.94;483.5;5,49,760;8110;469.83;147.42;333.17;2,035.20;560
13/12/2023;2.335;255190;69.47;307000;3.7875;62860;42,884.50;63110;922.1;2,260.18;436640;4,707.09;16,562.37;197.96;239.29;374.37;22.921;81890;132.57;480.88;5,55,800;7810;479.98;148.84;334.74;1,988.10;2220
12/12/2023;2.311;223460;68.61;324530;3.7875;69520;41,487.00;57040;931;2,203.49;377050;4,643.70;16,354.25;194.71;237.01;374.38;23.016;55160;132.52;476.57;5,49,240;7870;463;147.48;334.22;1,983.90;570
11/12/2023;2.35;144300;71.32;274410;3.7805;66610;41,256.10;105190;915.7;2,225.34;678030;4,622.44;16,221.74;193.18;239.74;371.3;23.058;56900;133.29;466.27;5,46,907;10390;459.89;145.89;325.28;1,993.70;160070
8/12/2023;2.504;88300;71.23;302250;3.8305;89400;44,175.50;58440;919.8;2,358.42;397410;4,604.37;16,084.69;195.71;243.84;374.23;23.276;87080;134.99;475.06;5,40,000;7640;453.76;147.42;332.75;2,014.50;237290
7/12/2023;2.52;125250;69.34;339000;3.7975;78530;43,289.70;63090;912;2,355.80;518610;4,585.59;16,022.49;194.27;242.64;370.95;24.059;57750;136.93;465.96;5,37,780;6960;452;146.88;326.59;2,046.40;173980
6/12/2023;2.517;82950;69.38;436800;3.7345;83430;43,776.30;72520;893.7;2,233.45;431570;4,549.34;15,788.05;192.32;239.37;368.8;24.228;59370;130.02;455.03;5,35,220;7520;446.73;144.52;317.45;2,047.90;154220
5/12/2023;2.667;42490;72.32;358700;3.784;96110;44,076.20;96840;906.6;2,293.34;561410;4,567.18;15,877.71;193.42;238.72;372.52;24.546;76730;130.99;465.66;5,39,250;7500;455.15;146.88;318.29;2,036.30;209550
4/12/2023;2.651;53830;73.04;388830;3.8355;95060;41,987.80;104210;925.1;2,243.54;601450;4,569.78;15,839.67;189.43;235.58;369.14;24.907;113760;129.27;455.1;5,42,395;10130;453.9;144.84;320.02;2,042.20;378220
1/12/2023;2.773;48470;74.07;358980;3.9315;106080;38,688.20;62500;936.1;2,087.21;402510;4,594.63;15,997.58;191.24;238.83;374.51;25.857;70000;131.86;467.65;5,42,414;8890;465.74;147.03;324.82;2,089.70;241620
30/11/2023;2.802;147750;75.96;559170;3.8505;76490;37,712.90;33530;935.9;2,051.56;252490;4,567.78;15,947.87;189.95;240.08;378.91;25.66;51620;132.53;467.7;5,45,900;7420;473.97;146.09;327.15;2,057.20;151920
29/11/2023;2.804;141590;77.86;322170;3.8255;76390;37,855.50;49340;941.4;2,028.99;269970;4,550.58;15,987.60;189.37;244.14;378.85;25.443;67400;134.99;481.4;5,43,905;7580;477.19;146.32;332.2;2,067.10;197790
28/11/2023;2.706;4140;76.41;286620;3.8285;640;37,823.30;57500;944.7;2,048.47;312940;4,554.89;16,010.43;190.4;246.72;382.7;25.302;63460;137.2;478.21;5,46,869;6930;479;147.03;338.99;2,050.50;1860
27/11/2023;2.794;67040;74.86;289560;3.789;200;37,248.60;45240;918;2,027.51;354280;4,550.43;15,961.98;189.79;236.08;378.61;25.038;55050;136.41;482.42;5,47,445;9910;479.17;147.73;334.7;2,023.10;1060
24/11/2023;2.855;34120;75.54;281150;3.8205;190;37,717.30;65830;932.4;2,080.62;460970;4,559.34;15,980.11;189.97;235.45;377.43;24.692;31900;136.69;477.76;5,49,500;7710;479.56;146.74;338.23;2,013.70;520
22/11/2023;2.897;59220;77.1;389330;3.797;150;37,410.80;64810;925.8;2,063.05;506350;4,556.62;16,001.39;191.31;234.21;377.85;24.033;24900;138.49;487.16;5,49,520;7270;478;146.71;341.49;2,003.40;670
21/11/2023;2.846;103670;77.77;238630;3.8395;120;35,813.60;71070;941.4;1,934.62;527410;4,538.19;15,933.62;190.64;241.2;373.07;24.221;23430;136.97;499.44;5,47,625;7220;474.95;143.9;336.98;2,012.00;670
20/11/2023;2.882;113700;77.6;27250;3.8335;310;37,454.10;51800;923.4;2,021.49;455230;4,547.38;16,027.06;191.45;235.6;377.44;23.959;15880;136.25;504.09;5,47,836;9920;474.47;146.13;339.97;1,990.70;310
15/11/2023;3.362;109450;76.66;282300;3.7185;85830;37,874.90;75510;901.25;2,058.93;455570;4,502.88;15,817.18;188.01;242.84;369.67;23.538;72280;134.62;488.88;5,42,500;7620;461.94;143.2;332.71;1,964.30;142920
