ID_Unico;ID1;QTRI;FAC;FANC;FTA;FPC;FPNC;FTP;FTPN;FTPYPN
20234;2023;Cuarto;992249;2229486;3221735;689388;1342339;2031727;1190008;3221735
20233;2023;Tercero;1125351;2278682;3404033;691144;1383198;2074342;1329691;3404033
20232;2023;Segundo;1131475;2217013;3348488;643439;2064912;1283576;1283573;3348488
20231;2023;Primero;1115582;2168061;3328643;587461;2043501;1240142;1240142;3283643
20224;2022;Cuarto;1188453;2125708;3314161;953139;1165887;2119025;1195135;3314161
20223;2022;Tercero;1284413;2087646;3372059;1051095;986093;2037188;1334871;3372059
20222;2022;Segundo;1210916;2060468;3271384;1065041;916559;1981600;1289784;3271384
20221;2022;Primero;1108618;2065504;3174122;1015354;915796;1931150;1242972;3174122
20214;2021;Cuarto;1009390;2192382;3201772;722160;1283807;2005967;1195805;3201772
20213;2021;Tercero;971812;2177429;3149241;483095;1521464;2004559;1144682;3149241
20212;2021;Segundo;1002898;2139760;3142658;788746;1260561;2049307;1093351;3142658
20211;2021;Primero;947529;2132940;3080469;432409;1244547;1676956;1403513;3080469
20204;2020;Cuarto;877739;2138545;3016284;265070;1383659;1648729;1367555;3016284
20203;2020;Tercero;964778;2162075;3126853;323858;1371555;1695413;1413440;3108853
20202;2020;Segundo;950161;2181507;2131668;557248;1186344;1743592;1388076;3131678
20201;2020;Primero;904799;2191731;3096530;477100;1183678;1660778;1435752;3096530
20194;2019;Cuarto;748330;2183228;2931558;352676;1157231;1509907;1421651;2931558
20193;2019;Tercero;772172;2205376;3977548;266334;1160984;1427318;1550230;2977548
20192;2019;Segundo;690934;2197991;2888925;234715;1142973;1377688;1511237;2888925
20191;2019;Primero;636075;2204028;2840103;225118;1138935;1364053;1476050;2840103
20184;2018;Cuarto;616087;2247158;2863245;258595;1153287;1411882;1451363;2863245
20183;2018;Tercero;665017;2228923;2893940;345464;1116464;1461928;1432012;2893940
20182;2018;Segundo;616688;2234725;2851413;192155;1098035;1290190;1561223;2851413
20181;2018;Primero;532072;2246775;2778847;136820;1104738;1241558;1537289;2778847
20174;2017;Cuarto;553355;2260760;2814115;205001;1102406;1307407;1506708;2814115
20173;2017;Tercero;616525;2330494;2947019;170689;1123176;1293865;1653154;2947019
20172;2017;Segundo;546826;2366616;2913442;148102;1126467;1274569;1638873;2913442
20171;2017;Primero;500301;2390169;2890470;145078;1122094;1267172;1623298;2890470
20164;2016;Cuarto;562326;2419886;3320623;177948;1159942;1340594;1980029;3320623
20163;2016;Tercero;682984;2760203;3443187;330197;1143780;1473977;1969210;3443187
20162;2016;Segundo;639607;2787247;3426854;211118;1107452;1318570;2108284;3426854
20161;2016;Primero;567922;2811832;3379754;164747;1121665;1286412;2093342;3379754
20154;2015;Cuarto;628480;2785314;3413794;203547;1164113;1367660;2046134;3413794
20153;2015;Tercero;882998;2668060;3551058;352471;1074020;1426491;2124567;3551058
20152;2015;Segundo;919342;2468512;3387854;187197;1039898;1227095;2160759;3387854
20151;2015;Primero;940777;2367406;3308183;180332;1009507;1189839;2118344;3308183
20144;2014;Cuarto;1034821;2206083;3240904;200115;970104;1170219;2070685;3240904
20143;2014;Tercero;1140639;2130727;3271366;164691;977901;1142592;2128774;3271366
20142;2014;Segundo;1250601;1933623;3184224;147120;947495;1094615;2089609;3184224
20141;2014;Primero;1329847;1793282;3123129;127444;950480;1077924;2045205;3123129
20134;2013;Cuarto;1419371;1695166;3114537;157661;947406;1105067;2009470;3114537
20133;2013;Tercero;1473571;1655694;3129265;154915;939979;1094894;2034371;3129265
20132;2013;Segundo;1430534;1636734;3067268;156650;939808;1096458;1970810;3067268
20131;2013;Primero;1390851;1584706;2975557;150479;881084;1031563;1943994;2975557
20124;2012;Cuarto;853409;1529915;2383324;179752;309457;489209;1894115;2383324
20123;2012;Tercero;933710;1408529;2342239;137371;305784;443155;1899084;2342239
20122;2012;Segundo;913454;1363745;2277199;133084;306337;439421;1837778;2277199
20121;2012;Primero;1250514;1329483;2579997;296233;491188;787421;1792576;2579997
