Muestra;X1;X2;X3;X4;X5
1;334.5;322.4;325.4;324.6;350.1
2;347.7;348.1;330.3;340.8;319
3;327.7;327.6;327.1;336.3;336.1
4;348.7;336.3;350.2;352.5;363.6
5;332.9;336.9;342.6;338.3;325.7
6;335.4;336.5;323.4;339.7;330.9
7;332.5;333.6;323.3;343.8;341.3
8;324.3;346.5;342.8;316.7;364.3
9;339.4;328;323.8;330.9;331.3
10;342.4;341;328.1;341.5;328.5
11;335.2;320.6;327.3;336.1;326.5
12;326.3;315.4;335.2;341.9;365.9
13;342.1;338.5;329.8;329;326.8
14;312.7;327.3;349.2;325.4;347.7
15;327.3;323.6;329.7;338.7;336.1
16;331.7;325.8;342.8;337.9;338.9
17;337.4;326.9;336.6;338.6;332
18;348.5;334;326.3;332.7;322.1
19;338.2;339.6;360.4;348.6;359.1
20;334.9;331.9;344.4;327.3;336
21;331.5;333.7;331.9;349.7;340.1
22;343.2;331;342.4;340.7;329
23;347.5;339.1;364.7;359.6;352.6
24;339.2;321.6;336.7;329.6;332.2
25;339.9;336.8;337.5;331.4;332.7
