ACTIVIDAD;PRODUCTO;AÑO;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;TOTAL_TN
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite de oliva;2010;7,2;13,0;19,3;21,4;9,9;13,1;7,2;7,5;5,5;8,1;8,2;21,8;142,2
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite de oliva;2011;5,7;5,9;11,2;13,3;9,5;12,7;8,2;19,3;18,2;16,1;23,4;27,5;171,0
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite de oliva;2012;7,9;17,8;7,7;17,4;19,4;13,7;12,6;12,3;12,5;18,6;16,7;12,7;169,2
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite de oliva;2013;3,5;32,8;8,9;7,9;16,3;5,1;19,8;8,4;13,1;10,5;9,3;72,7;208,4
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite de oliva;2014;28,6;9,5;44,1;520,9;509,5;409,6;33,6;43,4;13,0;31,5;13,9;72,3;1.729,9
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite de oliva;2015;9,5;31,3;64,7;172,8;192,9;43,6;9,3;9,5;5,8;14,2;4,3;16,9;574,8
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite de oliva;2016;21,0;4,0;91,1;208,6;183,7;7,8;7,6;12,9;30,7;19,9;51,4;12,2;650,8
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite de oliva;2017;37,3;14,5;113,2;233,3;359,6;31,8;14,2;25,9;8,2;12,2;74,0;23,6;947,7
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite de oliva;2018;33,3;22,3;126,4;226,3;494,1;329,9;20,6;31,4;19,6;31,8;25,4;38,6;1.399,7
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite de oliva;2019;14,1;35,0;278,6;957,2;668,9;6,1;28,3;19,7;21,5;51,9;47,1;16,2;2.144,6
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite de oliva;2020;43,8;236,2;93,2;234,9;212,4;73,3;31,4;28,7;59,0;36,2;69,0;32,4;1.150,6
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite de oliva;2021;33,0;35,7;76,2;339,8;337,9;140,9;49,2;53,3;45,3;15,7;60,4;56,4;1.243,9
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite de oliva;2022;33,5;52,4;119,4;277,3;118,9;43,0;24,0;32,0;33,8;23,8;21,0;2,5;781,5
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite de oliva;2023;22,7;30,9;30,8;11,6;14,9;0,0;26,1;27,0;26,0;28,0;29,0;25,0;271,9
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite de oliva;2024;110,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;110,5
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite vegetal;2010;835,5;650,0;700,0;463,5;500,0;650,0;820,0;960,0;857,0;820,0;800,0;800,0;8.856,0
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite vegetal;2011;772,5;978,5;721,0;463,5;463,5;669,5;721,0;875,5;854,9;978,5;844,6;875,5;9.218,5
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite vegetal;2012;916,7;937,3;978,5;1.009,4;999,0;905,0;854,9;887,9;865,2;860,0;860,1;860,0;10.933,9
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite vegetal;2013;901,3;921,9;773,0;775,6;926,0;927,5;947,6;762,2;800,0;978,5;910,0;917,0;10.540,5
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite vegetal;2014;618,0;772,5;829,2;680,3;813,7;865,2;1.671,0;772,5;793,1;875,5;700,0;566,5;9.957,5
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite vegetal;2015;309,0;750,0;780,0;1.052,9;875,5;834,3;875,5;577,8;646,7;854,2;840,5;1.136,0;9.532,3
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite vegetal;2016;1.126,0;855,5;834,3;900,0;1.060,9;1.170,0;1.060,0;1.369,9;960,0;507,0;840,0;709,0;11.392,6
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite vegetal;2017;669,6;625,0;950,0;630,0;810,0;710,0;978,5;1.050,0;860,0;1.025,7;947,1;1.042,6;10.298,4
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite vegetal;2018;937,3;988,8;751,9;875,5;947,6;837,6;1.009,4;824,0;896,1;980,0;930,0;845,0;10.823,2
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite vegetal;2019;900,0;1.058,0;812,0;890,0;1.050,0;638,6;721,0;800,0;721,0;535,6;515,0;750,0;9.391,2
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite vegetal;2020;824,0;700,0;600,0;530,0;300,0;130,0;60,0;300,0;500,0;850,0;772,5;730,0;6.296,5
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite vegetal;2021;340,0;228,0;250,0;420,0;450,0;472,0;502,0;730,0;800,0;620,0;550,0;600,0;5.962,0
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite vegetal;2022;550,0;570,0;650,0;750,0;600,0;620,0;650,0;680,0;660,0;660,0;650,0;600,0;7.640,0
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite vegetal;2023;1.060,0;720,0;410,0;600,0;680,0;650,0;500,0;505,0;502,0;660,0;550,0;504,0;7.341,0
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite vegetal;2024;566,5;442,9;566,5;587,1;679,8;645,0;633,0;600,0;620,0;500,0;550,0;0,0;6.390,8
PROCESAMIENTO DE ACEITES Y GRASAS;Manteca;2011;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
PROCESAMIENTO DE ACEITES Y GRASAS;Manteca;2012;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Aves carne;2010;583,8;534,9;536,2;630,5;918,1;839,5;992,4;993,3;1.219,4;1.153,3;1.200,0;826,4;10.427,7
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Aves carne;2011;712,3;815,9;606,3;552,0;313,6;359,8;310,3;285,6;488,9;394,0;476,4;380,6;5.695,5
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Aves carne;2012;418,2;617,2;609,4;723,0;617,8;565,9;481,5;517,1;694,6;698,3;577,4;693,8;7.214,2
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Aves carne;2013;658,5;464,1;628,5;617,1;539,2;633,3;687,1;701,3;642,2;606,0;543,0;653,1;7.373,2
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Aves carne;2014;794,0;556,5;783,4;419,5;711,0;561,1;695,0;792,1;607,7;743,0;654,9;397,6;7.715,8
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Aves carne;2015;263,5;275,4;285,6;152,4;332,0;481,4;519,8;335,8;350,8;345,8;243,8;413,1;3.999,6
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Aves carne;2016;262,7;167,7;196,4;273,3;185,3;201,9;171,9;56,7;50,0;62,9;62,6;81,2;1.772,6
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Aves carne;2017;59,6;80,1;67,4;65,9;64,0;62,9;61,0;38,0;33,2;35,2;37,8;41,1;646,1
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Aves carne;2018;48,6;40,8;47,9;39,8;62,9;58,2;51,6;35,6;33,6;40,2;40,0;45,8;544,9
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Aves carne;2019;109,5;92,3;93,5;110,1;104,7;104,2;168,1;201,6;143,7;95,6;86,6;87,6;1.397,6
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Aves carne;2020;97,6;80,3;69,1;71,5;75,0;88,4;89,5;94,4;99,0;111,1;115,6;113,4;1.104,9
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Aves carne;2021;114,0;101,7;108,9;61,3;111,1;98,2;118,7;101,1;79,3;89,3;111,5;113,7;1.208,7
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Aves carne;2022;87,3;84,5;82,4;88,8;88,3;88,8;75,5;76,3;80,8;89,5;104,8;120,6;1.067,5
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Aves carne;2023;79,6;67,3;89,5;73,6;71,9;70,3;104,3;64,8;91,6;79,8;100,4;77,4;970,3
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Aves carne;2024;81,4;72,4;66,1;68,6;55,8;59,2;110,0;94,8;67,3;75,0;83,4;0,0;833,9
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Aves Postura / Reproductoras;2010;14.217,8;13.072,3;14.062,0;13.970,8;14.525,3;15.159,3;15.352,3;15.532,0;16.134,5;16.399,0;15.555,8;17.617,7;181.598,4
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Aves Postura / Reproductoras;2011;16.485,6;15.339,7;16.721,8;16.205,3;18.699,5;18.352,2;19.579,2;20.074,5;19.176,0;19.281,2;18.607,2;17.917,0;216.439,4
