ACTIVIDAD;PRODUCTO;AÑO;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;TOTAL_TN
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite de oliva;2010;4,2;13,1;19,3;21,4;9,9;13,1;7,2;7,5;10,6;8,1;8,1;9,2;131,8
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite de oliva;2011;4,7;5,4;11,4;13,2;9,5;10,1;7,5;20,3;17,2;16,1;23,1;27,6;166,0
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite de oliva;2012;6,5;17,7;7,7;14,1;22,5;14,5;12,9;10,4;12,6;18,6;16,4;12,5;166,4
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite de oliva;2013;3,0;32,8;8,9;7,9;16,4;5,0;19,9;8,4;13,1;10,7;9,3;72,7;208,2
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite de oliva;2014;29,6;10,6;16,2;263,4;109,4;291,0;274,4;375,1;351,7;30,6;37,7;119,9;1909,7
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite de oliva;2015;10,4;3,5;16,3;29,1;144,8;218,5;118,2;26,6;20,9;26,0;33,6;21,3;669,2
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite de oliva;2016;16,2;25,9;12,0;54,6;167,2;151,3;55,9;24,1;41,1;32,5;43,2;18,7;642,7
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite de oliva;2017;44,5;16,9;18,4;18,3;230,3;177,7;255,7;36,4;52,9;20,9;17,0;32,5;921,3
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite de oliva;2018;50,1;22,3;37,4;126,8;353,8;347,4;29,5;30,6;55,0;126,0;25,5;34,5;1239,0
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite de oliva;2019;43,4;24,6;45,3;290,6;370,7;137,8;305,7;116,4;23,8;41,3;130,1;28,4;1558,2
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite de oliva;2020;70,6;143,2;40,1;195,5;163,7;159,1;60,9;162,7;41,8;36,7;69,9;55,2;1199,5
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite de oliva;2021;79,9;36,5;32,3;113,3;380,6;131,6;130,0;46,8;87,3;15,5;63,3;50,3;1167,5
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite de oliva;2022;62,0;54,2;32,2;157,7;43,9;42,0;20,5;34,6;27,8;24,9;27,1;20,6;547,4
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite de oliva;2023;20,0;26,2;28,4;14,1;14,7;8,2;27,8;30,0;25,0;28,0;27,0;20,0;269,5
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite de oliva;2024;85,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;85,0
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite vegetal;2010;706,1;646,9;795,9;1442,0;750,0;760,0;954,9;1100,0;724,0;850,0;773,5;675,0;10178,4
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite vegetal;2011;710,7;669,5;813,7;750,0;824,0;760,1;751,9;746,8;885,8;927,0;741,6;772,5;9353,6
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite vegetal;2012;875,5;994,5;785,4;1073,5;1070,5;820,8;1012,5;1035,4;871,8;753,1;842,6;828,5;10964,1
